0,250178
2,2587370
4,163077
6,4534884
8,1510590
10,1287070
12,1504505
14,1266688
16,1079788
18,915236
20,730344
22,558269
24,408846
26,284890
28,186827
30,115512
32,67029
34,36153
36,18051
38,8276
40,3304
42,1258
44,359
46,105
48,15
50,4
52,1
3,Diamonds
Ace,Spades
4,Clubs
Jack,Clubs
2,Hearts
8,Hearts
King,Diamonds
8,Spades
Queen,Clubs
6,Spades
King,Clubs
5,Diamonds
3,Clubs
3,Hearts
6,Clubs
10,Hearts
8,Diamonds
10,Diamonds
2,Diamonds
Jack,Spades
4,Hearts
Ace,Clubs
7,Clubs
Jack,Diamonds
King,Hearts
Queen,Diamonds
7,Spades
9,Spades
4,Spades
4,Diamonds
Queen,Hearts
5,Clubs
9,Hearts
Ace,Diamonds
King,Spades
7,Diamonds
Queen,Spades
2,Clubs
3,Spades
5,Hearts
9,Diamonds
10,Clubs
10,Spades
7,Hearts
6,Hearts
Ace,Hearts
6,Diamonds
5,Spades
9,Clubs
Jack,Hearts
8,Clubs
2,Spades
